,load,var,significance,mm_session,mm_feedback,mm_interaction,rm_session,rm_loading,rm_interaction,spher,spher_p,norm_res
0,,,,,,,,,,,,
1,COMB,P,LOW,"F(1,6) = 1.423, p=0.278","F(1,6) = 0.806, p=0.404","F(1,6) = 5.768, p=0.053","F(1,7) = 0.846, p=0.388","F(1,7) = 3.655, p=0.097","F(1,7) = 0.679, p=0.437",PASS,1.0,Perfectly normal
2,COMB,P_l,HIGH,"F(1,6) = 5.423, p=0.059","F(1,6) = 2.467, p=0.167","F(1,6) = 9.145, p=0.023","F(1,7) = 2.507, p=0.157","F(1,7) = 5.599, p=0.05","F(1,7) = 0.019, p=0.895",PASS,1.0,Normal
3,COMB,P_h,LOW,"F(1,6) = 0.069, p=0.802","F(1,6) = 0.202, p=0.669","F(1,6) = 2.043, p=0.203","F(1,7) = 0.06, p=0.814","F(1,7) = 0.163, p=0.699","F(1,7) = 3.844, p=0.091",PASS,1.0,Perfectly normal
4,COMB,G,HIGH,"F(1,6) = 10.503, p=0.018","F(1,6) = 1.004, p=0.355","F(1,6) = 11.693, p=0.014","F(1,7) = 4.155, p=0.081","F(1,7) = 3.392, p=0.108","F(1,7) = 0.128, p=0.731",PASS,1.0,False
5,COMB,G_l,HIGH,"F(1,6) = 20.175, p=0.004","F(1,6) = 2.309, p=0.179","F(1,6) = 18.017, p=0.005","F(1,7) = 5.88, p=0.046","F(1,7) = 6.832, p=0.035","F(1,7) = 0.376, p=0.559",PASS,1.0,False
6,COMB,G_h,NONE,"F(1,6) = 3.101, p=0.129","F(1,6) = 0.396, p=0.552","F(1,6) = 3.261, p=0.121","F(1,7) = 2.344, p=0.17","F(1,7) = 2.45, p=0.162","F(1,7) = 0.221, p=0.652",PASS,1.0,False
7,COMB,T,NONE,"F(1,6) = 0.131, p=0.73","F(1,6) = 0.043, p=0.842","F(1,6) = 2.267, p=0.183","F(1,7) = 0.111, p=0.749","F(1,7) = 1.918, p=0.209","F(1,7) = 0.998, p=0.351",PASS,1.0,Normal
8,COMB,T_l,NONE,"F(1,6) = 0.026, p=0.876","F(1,6) = 0.269, p=0.622","F(1,6) = 2.566, p=0.16","F(1,7) = 0.022, p=0.887","F(1,7) = 0.264, p=0.624","F(1,7) = 1.391, p=0.277",PASS,1.0,False
9,COMB,T_h,HIGH,"F(1,6) = 0.704, p=0.434","F(1,6) = 0.004, p=0.954","F(1,6) = 0.9, p=0.379","F(1,7) = 0.714, p=0.426","F(1,7) = 0.149, p=0.711","F(1,7) = 12.341, p=0.01",PASS,1.0,Normal
10,COMB,F,LOW,"F(1,6) = 0.005, p=0.947","F(1,6) = 0.493, p=0.509","F(1,6) = 0.992, p=0.358","F(1,7) = 0.005, p=0.947","F(1,7) = 0.001, p=0.979","F(1,7) = 5.206, p=0.057",PASS,1.0,Perfectly normal
11,COMB,F_l,LOW,"F(1,6) = 0.628, p=0.458","F(1,6) = 0.877, p=0.385","F(1,6) = 0.012, p=0.918","F(1,7) = 0.731, p=0.421","F(1,7) = 0.522, p=0.493","F(1,7) = 3.669, p=0.097",PASS,1.0,Perfectly normal
12,COMB,F_h,LOW,"F(1,6) = 0.205, p=0.667","F(1,6) = 1.718, p=0.238","F(1,6) = 1.452, p=0.274","F(1,7) = 0.193, p=0.674","F(1,7) = 0.426, p=0.535","F(1,7) = 4.368, p=0.075",PASS,1.0,Perfectly normal
13,COMB,grasps,HIGH,"F(1,6) = 31.379, p=0.001","F(1,6) = 8.885, p=0.025","F(1,6) = 37.26, p=0.001","F(1,7) = 5.078, p=0.059","F(1,7) = 1.722, p=0.231","F(1,7) = 0.232, p=0.645",PASS,1.0,Perfectly normal
14,COMB,crushes,SESSION ONLY,"F(1,6) = 4.912, p=0.069","F(1,6) = 0.585, p=0.473","F(1,6) = 3.4, p=0.115","F(1,7) = 3.658, p=0.097","F(1,7) = 2.157, p=0.185","F(1,7) = 0.686, p=0.435",PASS,1.0,False
15,COMB,drops,NONE,"F(1,6) = 0.219, p=0.656","F(1,6) = 0.642, p=0.453","F(1,6) = 1.768, p=0.232","F(1,7) = 0.197, p=0.67","F(1,7) = 1.224, p=0.305","F(1,7) = 1.224, p=0.305",PASS,1.0,False
16,COMB,Mental Demand,HIGH,"F(1,6) = 2.619, p=0.157","F(1,6) = 0.355, p=0.573","F(1,6) = 8.137, p=0.029","F(1,7) = 1.297, p=0.292","F(1,7) = 25.323, p=0.002","F(1,7) = 2.156, p=0.185",PASS,1.0,Perfectly normal
17,COMB,Physical Demand,SESSION ONLY,"F(1,6) = 5.884, p=0.051","F(1,6) = 0.017, p=0.901","F(1,6) = 0.263, p=0.627","F(1,7) = 6.577, p=0.037","F(1,7) = 2.296, p=0.174","F(1,7) = 0.035, p=0.857",PASS,1.0,Perfectly normal
